Turn	Red	Red Attack	Red Move	Red Guard	Red Suicide	Red Effectiveness	Blue	Blue Attack	Blue Move	Blue Guard	Blue Suicide	Blue Effectiveness
1	5.00001	0.0	0.0	0.0	0.0	0	5.00001	0.0	0.0	0.0	0.0	0
2	5.00001	0.0	0.399999200002	0.599998800002	0.0	0	5.00001	0.0	0.799998400003	0.199999600001	0.0	0
3	5.00001	0.0	0.399999200002	0.599998800002	0.0	0	5.00001	0.0	0.599998800002	0.399999200002	0.0	0
4	5.00001	0.0	0.399999200002	0.599998800002	0.0	0	5.00001	0.0	0.599998800002	0.399999200002	0.0	0
5	5.00001	0.0	0.399999200002	0.599998800002	0.0	0	5.00001	0.0	0.599998800002	0.399999200002	0.0	0
6	5.00001	0.0	0.399999200002	0.599998800002	0.0	0	5.00001	0.0	0.599998800002	0.399999200002	0.0	0
7	5.00001	0.0	0.399999200002	0.599998800002	0.0	0	5.00001	0.0	0.599998800002	0.399999200002	0.0	0
8	5.00001	0.0	0.399999200002	0.599998800002	0.0	0	5.00001	0.0	0.599998800002	0.399999200002	0.0	0
9	5.00001	0.0	0.399999200002	0.599998800002	0.0	0	5.00001	0.0	0.599998800002	0.399999200002	0.0	0
10	5.00001	0.0	0.199999600001	0.799998400003	0.0	0	5.00001	0.0	0.599998800002	0.399999200002	0.0	0
11	8.00001	0.0	0.12499984375	0.374999531251	0.0	0	10.00001	0.0	0.2999997	0.2999997	0.0	0
12	5.00001	0.0	0.399999200002	0.599998800002	0.0	0	8.00001	0.0	0.749999062501	0.2499996875	0.0	0
13	5.00001	0.0	0.399999200002	0.599998800002	0.0	0	8.00001	0.0	0.749999062501	0.2499996875	0.0	0
14	5.00001	0.0	0.399999200002	0.599998800002	0.0	0	8.00001	0.0	0.749999062501	0.2499996875	0.0	0
15	5.00001	0.0	0.399999200002	0.599998800002	0.0	0	8.00001	0.0	0.749999062501	0.2499996875	0.0	0
16	5.00001	0.0	0.199999600001	0.799998400003	0.0	0	8.00001	0.0	0.624999218751	0.374999531251	0.0	0
17	5.00001	0.0	0.199999600001	0.799998400003	0.0	0	8.00001	0.0	0.624999218751	0.374999531251	0.0	0
18	5.00001	0.0	0.199999600001	0.799998400003	0.0	0	8.00001	0.0	0.374999531251	0.624999218751	0.0	0
19	5.00001	0.0	0.199999600001	0.799998400003	0.0	0	8.00001	0.0	0.374999531251	0.624999218751	0.0	0
20	5.00001	0.0	0.199999600001	0.799998400003	0.0	0	8.00001	0.0	0.2499996875	0.749999062501	0.0	0
21	10.00001	0.0	0.0999999000001	0.599999400001	0.0	0	11.00001	0.0	0.181818016529	0.363636033058	0.0	0
22	6.00001	0.0	0.666665555557	0.333332777779	0.0	0	7.00001	0.0	0.999998571431	0.0	0.0	0
23	6.00001	0.0	0.333332777779	0.666665555557	0.0	0	7.00001	0.0	0.857141632655	0.142856938776	0.0	0
24	6.00001	0.0	0.333332777779	0.666665555557	0.0	0	7.00001	0.0	0.714284693879	0.285713877552	0.0	0
25	6.00001	0.0	0.166666388889	0.833331944447	0.0	0	7.00001	0.0	0.714284693879	0.285713877552	0.0	0
26	6.00001	0.0	0.166666388889	0.833331944447	0.0	0	7.00001	0.0	0.571427755103	0.428570816327	0.0	0
27	6.00001	0.0	0.166666388889	0.833331944447	0.0	0	7.00001	0.0	0.571427755103	0.428570816327	0.0	0
28	6.00001	0.0	0.166666388889	0.833331944447	0.0	0	7.00001	0.0	0.571427755103	0.428570816327	0.0	0
29	6.00001	0.0	0.166666388889	0.833331944447	0.0	0	7.00001	0.0	0.428570816327	0.571427755103	0.0	0
30	6.00001	0.0	0.166666388889	0.833331944447	0.0	0	7.00001	0.0	0.428570816327	0.571427755103	0.0	0
31	9.00001	0.0	0.111110987654	0.444443950618	0.0	0	12.00001	0.0	0.249999791667	0.416666319445	0.0	0
32	6.00001	0.0	0.833331944447	0.166666388889	0.0	0	7.00001	0.0	0.571427755103	0.428570816327	0.0	0
33	6.00001	0.0	0.666665555557	0.333332777779	0.0	0	7.00001	0.0	0.428570816327	0.571427755103	0.0	0
34	6.00001	0.0	0.666665555557	0.333332777779	0.0	0	7.00001	0.0	0.428570816327	0.571427755103	0.0	0
35	6.00001	0.0	0.666665555557	0.333332777779	0.0	0	7.00001	0.0	0.428570816327	0.571427755103	0.0	0
36	6.00001	0.0	0.499999166668	0.499999166668	0.0	0	7.00001	0.0	0.428570816327	0.571427755103	0.0	0
37	6.00001	0.0	0.499999166668	0.499999166668	0.0	0	7.00001	0.0	0.428570816327	0.571427755103	0.0	0
38	6.00001	0.0	0.499999166668	0.499999166668	0.0	0	7.00001	0.0	0.142856938776	0.857141632655	0.0	0
39	6.00001	0.0	0.499999166668	0.499999166668	0.0	0	7.00001	0.0	0.142856938776	0.857141632655	0.0	0
40	6.00001	0.0	0.499999166668	0.499999166668	0.0	0	7.00001	0.0	0.0	0.999998571431	0.0	0
41	11.00001	0.0	0.272727024794	0.454545041323	0.0	0	10.00001	0.0	0.0	0.499999500001	0.0	0
42	7.00001	0.0	0.714284693879	0.285713877552	0.0	0	5.00001	0.0	0.399999200002	0.599998800002	0.0	0
43	7.00001	0.0	0.714284693879	0.285713877552	0.0	0	5.00001	0.0	0.399999200002	0.599998800002	0.0	0
44	7.00001	0.0	0.714284693879	0.285713877552	0.0	0	5.00001	0.0	0.399999200002	0.599998800002	0.0	0
45	7.00001	0.0	0.714284693879	0.285713877552	0.0	0	5.00001	0.0	0.399999200002	0.599998800002	0.0	0
46	7.00001	0.0	0.571427755103	0.428570816327	0.0	0	5.00001	0.0	0.399999200002	0.599998800002	0.0	0
47	7.00001	0.0	0.571427755103	0.428570816327	0.0	0	5.00001	0.0	0.399999200002	0.599998800002	0.0	0
48	7.00001	0.0	0.571427755103	0.428570816327	0.0	0	5.00001	0.0	0.399999200002	0.599998800002	0.0	0
49	7.00001	0.0	0.571427755103	0.428570816327	0.0	0	5.00001	0.0	0.399999200002	0.599998800002	0.0	0
50	7.00001	0.0	0.571427755103	0.428570816327	0.0	0	5.00001	0.0	0.399999200002	0.599998800002	0.0	0
51	12.00001	0.0	0.333333055556	0.249999791667	0.0	0	9.00001	0.0	0.222221975309	0.333332962963	0.0	0
52	9.00001	0.0	0.888887901236	0.111110987654	0.0	0	7.00001	0.0	0.857141632655	0.142856938776	0.0	0
53	9.00001	0.0	0.666665925927	0.333332962963	0.0	0	7.00001	0.0	0.857141632655	0.142856938776	0.0	0
54	9.00001	0.0	0.555554938272	0.444443950618	0.0	0	7.00001	0.0	0.714284693879	0.285713877552	0.0	0
55	9.00001	0.0	0.555554938272	0.444443950618	0.0	0	7.00001	0.0	0.714284693879	0.285713877552	0.0	0
56	9.00001	0.0	0.444443950618	0.555554938272	0.0	0	7.00001	0.0	0.571427755103	0.428570816327	0.0	0
57	9.00001	0.0	0.444443950618	0.555554938272	0.0	0	7.00001	0.0	0.571427755103	0.428570816327	0.0	0
58	9.00001	0.0	0.333332962963	0.666665925927	0.0	0	7.00001	0.0	0.428570816327	0.571427755103	0.0	0
59	9.00001	0.0	0.333332962963	0.666665925927	0.0	0	7.00001	0.0	0.428570816327	0.571427755103	0.0	0
60	9.00001	0.0	0.333332962963	0.666665925927	0.0	0	7.00001	0.0	0.285713877552	0.714284693879	0.0	0
61	13.00001	0.0	0.230769053255	0.384615088758	0.0	0	12.00001	0.0	0.166666527778	0.499999583334	0.0	0
62	7.00001	0.0	0.857141632655	0.142856938776	0.0	0	6.00001	0.0	0.666665555557	0.333332777779	0.0	0
63	7.00001	0.0	0.857141632655	0.142856938776	0.0	0	6.00001	0.0	0.333332777779	0.666665555557	0.0	0
64	7.00001	0.0	0.714284693879	0.285713877552	0.0	0	6.00001	0.0	0.166666388889	0.833331944447	0.0	0
65	7.00001	0.0	0.571427755103	0.428570816327	0.0	0	6.00001	0.0	0.166666388889	0.833331944447	0.0	0
66	7.00001	0.0	0.571427755103	0.428570816327	0.0	0	6.00001	0.0	0.166666388889	0.833331944447	0.0	0
67	7.00001	0.0	0.571427755103	0.428570816327	0.0	0	6.00001	0.0	0.166666388889	0.833331944447	0.0	0
68	7.00001	0.0	0.571427755103	0.428570816327	0.0	0	6.00001	0.0	0.166666388889	0.833331944447	0.0	0
69	7.00001	0.0	0.428570816327	0.571427755103	0.0	0	6.00001	0.0	0.166666388889	0.833331944447	0.0	0
70	7.00001	0.0	0.428570816327	0.571427755103	0.0	0	6.00001	0.0	0.166666388889	0.833331944447	0.0	0
71	12.00001	0.0	0.249999791667	0.333333055556	0.0	0	11.00001	0.0	0.0909090082645	0.454545041323	0.0	0
72	7.00001	0.0	0.571427755103	0.428570816327	0.0	0	6.00001	0.0	0.999998333336	0.0	0.0	0
