average error,percent correct
0.885279,0.160000
0.895948,0.107143
0.888329,0.142857
0.892011,0.148148
0.895210,0.111111
0.896741,0.111111
0.887507,0.222222
0.892553,0.111111
0.897435,0.111111
0.882066,0.230769
0.889622,0.153846
0.879522,0.206897
0.883493,0.172414
0.887872,0.142857
0.884184,0.178571
0.883759,0.214286
0.889067,0.107143
0.884596,0.178571
0.884567,0.214286
0.881419,0.250000
0.884367,0.142857
0.893615,0.034483
0.889975,0.103448
0.891164,0.034483
0.894150,0.000000
0.886680,0.071429
0.886886,0.071429
0.887650,0.148148
0.887091,0.115385
0.883397,0.115385
0.886544,0.038462
0.883624,0.285714
0.890845,0.153846
0.893392,0.153846
0.892861,0.080000
0.901018,0.040000
0.873442,0.240000
0.896581,0.080000
0.883341,0.240000
0.883584,0.125000
0.888976,0.166667
0.894753,0.111111
0.899425,0.074074
0.888860,0.153846
0.892331,0.115385
0.888988,0.076923
0.899353,0.040000
0.892844,0.041667
0.888104,0.083333
0.892013,0.125000
0.881017,0.125000
0.893766,0.185185
0.889092,0.185185
0.887106,0.185185
0.894868,0.111111
0.892347,0.074074
0.887126,0.185185
0.890860,0.037037
0.887122,0.185185
0.897452,0.000000
0.884756,0.074074
0.881464,0.366667
0.889818,0.133333
0.883384,0.233333
0.886961,0.233333
0.886140,0.166667
0.888256,0.166667
0.880403,0.166667
0.884187,0.172414
0.888360,0.142857
0.880781,0.142857
0.889799,0.185185
0.893954,0.192308
0.891246,0.076923
0.896838,0.038462
0.889902,0.038462
0.902156,0.076923
0.883729,0.200000
0.882717,0.120000
0.886626,0.160000
0.887400,0.160000
0.878089,0.142857
0.878708,0.230769
0.891376,0.076923
0.885823,0.038462
0.881805,0.115385
0.890677,0.115385
0.893881,0.076923
0.889763,0.153846
0.890391,0.192308
0.888129,0.230769
0.888395,0.166667
0.888994,0.133333
0.882532,0.166667
0.884436,0.137931
0.887313,0.103448
0.879824,0.142857
0.876606,0.214286
0.878810,0.142857
0.868954,0.142857
0.868580,0.178571
0.885870,0.093750
0.882421,0.062500
0.877127,0.225806
0.869764,0.387097
0.871054,0.290323
0.877890,0.172414
0.868647,0.344828
0.884646,0.137931
0.874689,0.222222
0.876252,0.160000
0.851585,0.461538
0.861307,0.307692
0.840987,0.520000
0.837590,0.520000
0.840683,0.440000
0.843867,0.440000
0.848784,0.360000
0.854666,0.360000
0.850473,0.291667
0.879186,0.217391
0.881774,0.208333
0.852827,0.333333
